x,y,type,color
-6.210141959997987,10.512049411852917,left_cone,yellow
-5.514419051614183,9.28751480590325,left_cone,yellow
-4.534751321788,8.018392924173943,left_cone,yellow
-3.3638889913098664,6.783267008667583,left_cone,yellow
-2.032453680109749,5.5787410871289635,left_cone,yellow
-0.5883983771390167,4.3221916417901785,left_cone,yellow
0.8760161701420888,2.891129450604631,left_cone,yellow
-2.2148816623457956,-1.1594391841766971,right_cone,orange
-1.597664894753866,-2.2357496123119214,right_cone,blue
-1.1383270822537521,-3.75045301201281,right_cone,blue
-0.7935187665865935,-5.566417197048012,right_cone,blue
-0.4353426531654754,-7.551967313417061,right_cone,blue
0.1823287232719748,-9.66253563602615,right_cone,blue
1.5867962498189994,-11.752535961617754,right_cone,blue
3.6432942348075095,-12.889725355429476,right_cone,blue
5.512399459826809,-13.130558613737973,right_cone,blue
7.254327961544153,-13.050435827732645,right_cone,blue
8.89117045451792,-12.910188139672858,right_cone,blue
10.325078961511009,-12.860125004170378,right_cone,blue
11.580190240276417,-13.008290296327198,right_cone,blue
12.943509644453847,-13.607213696360963,right_cone,blue
14.381801202106331,-14.625439588789535,right_cone,blue
15.836461349943198,-15.893038754156432,right_cone,blue
17.32752878743076,-17.24237919904244,right_cone,blue
19.049197488839276,-18.526634771735413,right_cone,blue
21.55782842364049,-19.26376546135901,right_cone,blue
23.89864684446544,-18.47991710124876,right_cone,blue
25.183364650320485,-17.15851895334024,right_cone,blue
26.1076850101436,-15.641997626706209,right_cone,blue
26.92759098613456,-13.990457852694378,right_cone,blue
27.726759658146783,-12.343772028647882,right_cone,blue
28.51951654129061,-10.890106726390687,right_cone,blue
29.26075028187915,-9.798375647431127,right_cone,blue
30.126432447916823,-8.993137393597472,right_cone,blue
31.32791536384236,-8.367119257278343,right_cone,blue
32.84710037871474,-7.859867023262391,right_cone,blue
34.61562963526647,-7.36258172729776,right_cone,blue
36.55553720793517,-6.701519405566928,right_cone,blue
38.44949873539823,-5.726701034438349,right_cone,blue
40.104470484261896,-4.450979964824116,right_cone,blue
41.51527518784242,-2.9371977740276685,right_cone,blue
42.69475334395271,-1.2365167889047217,right_cone,blue
43.65605076930205,0.6103368790404763,right_cone,blue
44.40899725042921,2.568845784608083,right_cone,blue
44.95941917427754,4.607663188512802,right_cone,blue
45.30943222280729,6.696993354145846,right_cone,blue
45.45773296706686,8.807885790693073,right_cone,blue
45.39949270971959,10.911917567797166,right_cone,blue
44.46302430221541,10.627383084630544,right_cone,blue
45.127533328720894,12.973106402458736,right_cone,blue
44.64778236790082,14.93245517902597,right_cone,blue
